Date	Speaker	Affiliation	Title	Abstract
"""2020-04-20"""	"""D. Mehmet Kocak and Mr. Tristan Hayes """	"""UTHSC """	"""Tracking the Covid-19 Pandemic in the U.S."""	"""Mehmet Kocak, PhD, Associate Professor of Biostatistics in the Department of Preventive Medicine and Tristan Hayes, MSc, Biostatistics Consulting Manager, will present on efforts to track the COVID-19 virus using publicly available data sources. Dr. Kocak's presentation, ""A comparative look at the Covid-19 Pandemic in the U.S"", will focus on comparing the virus' progression in the US to other nations and will also briefly touch on forecasting. Mr. Hayes's presentation, ""Visualizing the Covid-19 Pandemic in the U.S."" will cover several methods for depicting the epidemic visually, using R and R Shiny."""
"""2020-05-04"""	"""Dr. Marco Geraci """	"""University of South Carolina """	"""Quantile contours and allometric modelling for risk classification of abnormal ratios with an application to asymmetric growth restriction in preterm infants"""	"""In this talk, I will present a novel approach to risk classification based on quantile contours and allometric modelling of multivariate anthropometric measurements. I propose the definition of allometric direction tangent to the directional quantile envelope, which divides ratios of measurements into half-spaces. This in turn provides an operational definition of directional quantile that can be used as cutoff for risk assessment. I will apply the proposed approach to a large dataset from the Vermont Oxford Network containing observations of birthweight (BW) and head circumference (HC) for more than 150,000 preterm infants. The analysis suggests that small preterm infants with large HC-to-BW ratio are at increased risk of mortality as compared to appropriate-for-gestational-age as well as proportionately-growth-restricted preterm infants. This study offers not only an approach to risk classification, but also large-sample estimated cutoffs that can be immediately used by practitioners (Geraci M et al, 2019, Statistical Methods in Medical Research, doi:10.1177/0962280219876963)."""
"""2020-05-11"""	"""Dr. Zonghui Hu """	"""NIH/NIAID """	"""Assessment of collective genetic impact from twin study: a mixture distribution approach"""	"""It is challenging to evaluate the genetic impacts on a biologic feature and separate them from the environmental impacts. We approach this through twin studies by assessing the collective genetic impact defined by the differential correlation in monozygotic twins versus dizygotic twins. Since the underlying order in a twin, determined by latent genetic factors, is unknown, the observed twin data are unordered. Conventional methods for correlation are not appropriate. To handle the missing order, we model twin data by a mixture bivariate distribution and estimate under two likelihood functions: the likelihood over the monozygotic and dizygotic twins separately, and the likelihood over the two twin types combined. Both likelihood estimators are consistent. More importantly, the combined likelihood overcomes the drawback of mixture distribution estimation, namely, the slow convergence. It yields correlation coefficient estimator of root-n consistency and allows effective statistical inference on the collective genetic impact. The method is demonstrated by a twin study on immune traits. This is a joint work with Pengfei Li, Dean Follmann and Jing Qin."""
"""2020-06-01"""	"""Dr. Sixia Chen """	"""University of Oklahoma Health Sciences Center """	"""Nonparametric Mass Imputation for Data Integration"""	"""This study has shed light on new sets of genes including CIRBP, RBM3, GPNMB, ISG15, IFIT6, IFI6, and IFIT3, which were previously undermined or undetected to be significantly expressed among the subjects with HAND either in the frontal cortex or basal ganglia. The gene, GADD45A, a protein-coding gene whose transcript levels tend to increase with stressful growth arrest conditions, was consistently ranked among the top genes by two RF models within the frontal cortex."""
"""2020-06-22"""	"""Dr. Hansapani Rodrigo """	"""The University of Texas Rio Grande Valley """	"""HIV-Associated Neurocognitive Disorder (HAND) Biomarker Identification with Significance Analysis of Microarrays and Random Forest Analysis"""	"""Genome-wide screening of transcription regulation in brain tissue helps in identifying substantial abnormalities present in patients? gene transcripts and to discover possible biomarkers for HIV Associated Neurological Disorders (HAND). This study explores the possibility of identifying differentially expressed (DE) genes, which can serve as potential biomarkers to detect HAND. In this regard, gene expression levels of three subject groups with different impairment levels of HAND along with a control group in three distinct brain sectors: white matter, frontal cortex, and basal ganglia have been investigated and compared using multiple statistical analysis methods including Significance Analysis of Microarrays (SAM) and random forests (RF). In fact, two aspects of gene expressions have been investigated; single-gene and sub-gene network effects, where the latter model accounts for the co-regulation, and interrelations among genes. The sub-gene network RF model incorporates prior biological information into account and hence has widened the path in the exploration of DE genes."""
"""2020-06-29"""	"""Dr. Fatma Gunturkun """	"""UTHSC """	"""Artificial Intelligence for Prediction of Late Onset Cardiomyopathy among Childhood Cancer Survivors"""	"""Background: Early identification of childhood cancer survivors at high risk for treatment-related cardiomyopathy may improve outcomes by enabling timely intervention. We implemented deep learning and signal processing methods using the Children's Oncology Group (COG) guideline-recommended baseline electrocardiography (ECG) to predict future cardiomyopathy.Methods: Signal processing and deep learning tools were applied to 12-lead electrocardiogarms (ECG) obtained on 1,217 adult survivors (18 years of age, 10 years from diagnosis) of childhood cancer, without evidence of cardiomyopathy, prospectively followed in the St. Jude Lifetime Cohort (SJLIFE) Study. Clinical and echocardiographic assessment of cardiac function was performed at baseline and follow-up evaluations and graded per a modified version of the Common Terminology Criteria for Adverse Events (CTCAE). Extreme gradient boosting (XGboost) algorithms were applied, and model performance evaluated by 5-fold stratified cross validation.Results: Median age at baseline evaluation was 31.7 years (range 18.4-66.4), and median age at cancer diagnosis was 8.4 years (range 0.01 ?C 22.7). The average length of follow-up time following baseline SJLIFE evaluation was 5 years (0.5-9). Among survivors, 67.1% were exposed to chest radiation (median dose of 1,200 cGy (4-6,200 cGy) and 76.6% were exposed to anthracyclines (mean dose of 168.7 mg/m2 (35.1-734.2 mg/m2). A total of 117 (9.6%) survivors developed cardiomyopathy during follow-up. In the model based on ECG features, the cross-validation AUC was 0.87 (95% CI 0.83-0.90), with sensitivity 76% and specificity 79%, and in the model based on ECG and clinical features, the cross-validation AUC was 0.89 (95% CI 0.86-0.91), with sensitivity 78% and specificity 81%.Conclusion: Artificial intelligence using electrocardiographic data may assist in the early identification of childhood cancer survivors at high risk for cardiomyopathy."""
"""2020-07-13"""	"""Dr. Qi Yan """	"""U of Pittsburgh """	"""Deep-learning-based Prediction of Late Age-Related Macular Degeneration Progression"""	"""The results suggested that even though incorporating spatial autocorrelation could significantly improve the performance of the global ordinary least square model; these models still represent a significantly poor performance compared to the local models. Moreover, MGWR could explain the highest variations (adj. R?: 68.1%) with the lowest AICc compared to the others. In the second study we added mortality rates of several infectious and chronic diseases as explanatory variables and examined the performance of multilayer perceptron (MLP) neural network in predicting the cumulative COVID-19 incidence rates using 57 variables. Our results indicated that a single-hidden-layer MLP could explain almost 65% of the correlation with ground truth for the holdout samples. Sensitivity analysis conducted on this model showed that the age-adjusted mortality rates of ischemic heart disease, pancreatic cancer, and leukaemia, together with two socioeconomic and environmental factors (median household income and total precipitation), are among the most substantial factors for predicting COVID-19 incidence rates. The findings may provide useful insights for public health decision makers regarding the influence of potential risk factors associated with the COVID-19 incidence at the county level."""
"""2020-07-27"""	"""Dr. Abolfazl Mollalo """	"""Baldwin Wallace University """	"""Spatial Variations of the COVID-19 Incidence in the United States: A GIS-based Approach"""	""" The outbreak of COVID19 in the United States is posing an unprecedented socioeconomic burden to the country. Due to inadequate research on geographic modeling of COVID-19, we investigated county-level variations of disease incidence across the continental United States. We compiled a geodatabase of 35 environmental, socioeconomic, topographic, and demographic variables that could potentially explain the spatial variability of disease incidence. Further, we employed spatial lag and spatial error models to investigate spatial dependencies and geographically weighted regression (GWR) and multiscale GWR (MGWR) models to locally examine spatial non-stationarity."""
"""2020-09-21"""	"""Dr. Danh V. Nguyen """	"""UC Irvine """	"""Profiling Dialysis Facilities for Adverse Recurrent Events"""	"""Profiling analysis aims to evaluate health care providers, such as hospitals, nursing homes, or dialysis facilities, with respect to a patient outcome. Previous profiling methods have considered binary outcomes, such as 30-day hospital readmission or mortality. For the unique population of dialysis patients, regular blood works are required to evaluate effectiveness of treatment and avoid adverse events, including dialysis inadequacy, imbalance mineral levels, and anemia among others. For example, anemic events (when hemoglobin levels exceed normative range) are recurrent and common for patients on dialysis. Thus, we propose high-dimensional Poisson and negative binomial regression models for rate/count outcomes and introduce a standardized event ratio (SER) measure to compare the event rate at a specific facility relative to a chosen normative standard, typically defined as an ?average? national rate across all facilities. Our proposed estimation and inference procedures overcome the challenge of high-dimensional parameters for thousands of dialysis facilities. Also, we investigate how overdispersion affects inference in the context of profiling analysis. """
"""2020-09-28"""	"""Dr. Bin Zhu """	"""National Cancer Center/NIH """	"""A hidden Markov modeling approach for identifying tumor subclones in next-generation sequencing studies"""	"""Allele-specific copy number alteration (ASCNA) analysis is for identifying copy number abnormalities in tumor cells. Unlike normal cells, tumor cells are heterogeneous as a combination of dominant and minor subclones with distinct copy number profiles. Estimating the clonal proportion and identifying mainclone and subclone genotypes across the genome are important for understanding tumor progression. Several ASCNA tools have recently been developed, but they have been limited to the identification of subclone regions, and not the genotype of subclones. In this article, we propose subHMM, a hidden Markov model-based approach that estimates both subclone region and region-specific subclone genotype and clonal proportion. We specify a hidden state variable representing the conglomeration of clonal genotype and subclone status. We propose a two-step algorithm for parameter estimation, where in the first step, a standard hidden Markov model with this conglomerated state variable is fit. Then, in the second step, region-specific estimates of the clonal proportions are obtained by maximizing region-specific pseudo-likelihoods. We apply subHMM to study renal cell carcinoma datasets in The Cancer Genome Atlas. In addition, we conduct simulation studies that show the good performance of the proposed approach. The R source code is available online at https://dceg.cancer.gov/tools/analysis/subhmm."""
"""2020-10-26"""	"""Dr. Brian Egleston """	"""Fox Chase Cancer Center """	"""Statistical inference for natural language processing algorithms with a demonstration using type 2 diabetes prediction from electronic health record notes"""	"""The pointwise mutual information statistic (PMI), which measures how often two words occur together in a document corpus, is a cornerstone of recently proposed popular natural language processing algorithms such as word2vec. PMI and word2vec reveal semantic relationships between words and can be helpful in a range of applications such as document indexing, topic analysis, or document categorization. We use probability theory to demonstrate the relationship between PMI and word2vec. We use the theoretical results to demonstrate how the PMI can be modeled and estimated in a simple and straight forward manner. We further describe how one can obtain standard error estimates that account for within?patient clustering that arises from patterns of repeated words within a patient's health record due to a unique health history. We then demonstrate the usefulness of PMI on the problem of predictive identification of disease from free text notes of electronic health records. Specifically, we use our methods to distinguish those with and without type 2 diabetes mellitus in electronic health record free text data using over 400 000 clinical notes from an academic medical center."""
"""2020-11-09"""	"""Dr. Lifeng Lin"""	"""Florida State University"""	"""Treatment ranking in Bayesian network meta-analysis and predictions"""	"""Network meta-analysis (NMA) is an important tool to provide high-quality evidence about available treatments? benefits and harms for comparative effectiveness research. Compared with conventional meta-analyses that synthesize related studies for pairs of treatments separately, an NMA uses both direct and indirect evidence to simultaneously compare all available treatments for a certain disease. It is of primary interest for clinicians to rank these treatments and select the optimal ones for patients. Various methods have been proposed to evaluate treatment ranking; among them, the mean rank, the so-called surface under the cumulative ranking curve (SUCRA), and P-score are widely used in current practice of NMAs. However, these measures only summarize treatment ranks among the studies collected in the NMA. Due to heterogeneity between studies, they cannot predict treatment ranks in a future study and thus may not be directly applied to healthcare for new patients. We propose innovative measures to predict treatment ranks by accounting for the heterogeneity between the existing studies in an NMA and a new study. They are the counterparts of the mean rank, SUCRA, and P-score under the new study setting. We use illustrative examples and simulation studies to evaluate the performance of the proposed measures."""
"""2020-11-16"""	"""Dr. Rima Izem """	"""Children's National Research Institute and the George Washington University"""	"""Parallelizing Research Efforts with Hosted GIT and Modern Asynchornous Workflows"""	"""Git is a modern distributed version control system that enables collaborators to explore various avenues of research without interfering with the common core of their project while also keeping track of contributions and project versions over time. It has been the cornerstone of both the smallest and largest software development collaborations over the past decade scaling from a handful of collaborators to thousands. Taking cues from the software engineering ecosystem of workflows and tools that have evolved around Git we can increase reproducibility, assuage pain points in distributed collaboration, and pursue multiple research avenues within projects asynchronously."""
"""2021-02-08"""	"""Dr. Aiyi Liu"""	"""NIH"""	"""Nonparametric estimation of distributions and diagnostic accuracy based on group-tested results with differential misclassification"""	""" This talk concerns the problem of estimating a continuous distribution in a diseased or nondiseased population when only group-based test results on the disease status are available. The problem is challenging in that individual disease statuses are not observed and testing results are often subject to misclassification, with further complication that the misclassification may be differential as the group size and the number of the diseased individuals in the group vary. We propose a method to construct nonparametric estimation of the distribution and obtain its asymptotic properties. The performance of the distribution estimator is evaluated under various design considerations concerning group sizes and classification errors. The method is exemplified with data from the National Health and Nutrition Examination Survey (NHANES) study to estimate the distribution and diagnostic accuracy of C-reactive protein in blood samples in predicting chlamydia incidence."""
"""2021-02-22"""	"""Dr. Hyeonju Kim"""	"""UTHSC """	"""A tutorial for a multivariate linear mixed model based QTL(Quantitative Trait Loci) analysis tool : FlxQTL"""	"""FlxQTL is a Julia software package, developed for genetic mapping of multivariate traits faster with greater flexibility compared to existing linear mixed model-based algorithms.  It offers comprehensive functionalities for QTL analysis: genetic kinship computation, genome scan, pair scan, permutation test, and visualization, etc.  In this talk, a step-by-step demo from the package installation to visualization will be presented using Arabidopsis thaliana data (Recombinant Inbred Lines)."""
"""2021-03-08"""	"""Dr. Cen Wu"""	"""Kansas State University"""	"""Sparse group variable selection for gene--environment interactions in the longitudinal study"""	"""Regularized variable selection for high dimensional longitudinal data has received much attention as accounting for the correlation among repeated measurements can provide additional and essential information for improved identification and prediction performance. Despite the success, in longitudinal studies, the potential of regularization methods is far from fully understood for accommodating structured sparsity. In this work, we have developed a sparse group penalization method to conduct the bi-level G-E interaction study under the repeatedly measured phenotype. Within the quadratic inference function (QIF) framework, the proposed method can achieve simultaneous identification of main and interaction effects on both the group and individual level. Simulation studies have shown that the proposed method outperforms major competitors. In the case study of asthma data from the Childhood Asthma Management Program (CAMP), our method leads to identification of improved prediction, as well as main and interaction effects with important implications."""
"""2021-03-15"""	"""Dr. Maiying Kong"""	"""University of Louisville"""	"""Propensity score specification for optimal estimation of average treatment effect with binary response"""	"""Propensity score methods are commonly used in statistical analyses of observational data to reduce the impact of confounding bias in estimations of average treatment effect. While the propensity score is defined as the conditional probability of a subject being in the treatment group given that subject?s covariates, the most precise estimation of average treatment effect results from specifying the propensity score as a function of true confounders and predictors only. This property has been demonstrated via simulation in multiple prior research articles. However, we have seen no theoretical explanation as to why this should be so. This paper provides that theoretical proof. Furthermore, this paper presents a method for performing the necessary variable selection by means of elastic net regression, and then estimating the propensity scores so as to obtain optimal estimates of average treatment effect. The proposed method is compared against two other recently introduced methods, outcome-adaptive lasso and covariate balancing propensity score. Extensive simulation analyses are employed to determine the circumstances under which each method appears most effective. We applied the proposed methods to examine the effect of pre-cardiac surgery coagulation indicator on mortality based on a linked dataset from a retrospective review of 1390 patient medical records at Jewish Hospital (Louisville, KY) with the Society of Thoracic Surgeons database. (manuscript: https://journals.sagepub.com/doi/full/10.1177/0962280220934847"""
"""2021-03-29"""	"""Dr. Omer Ozturk"""	"""Ohio State University"""	"""meta-analysis of quantile intervals from different studies with an application to a pulmonary tuberculosis data"""	"""After the completion of many studies, experimental results are reported in terms of distribution?free confidence intervals that may involve pairs of order statistics. This article considers a meta-analysis procedure to combine these confidence intervals from independent studies to estimate or construct a confidence interval for the true quantile of the population distribution. Data synthesis is made under both fixed?effect and random-effect meta-analysis models. We show that mean square error (MSE) of the combined quantile estimator is considerably smaller than that of the best individual quantile estimator. We also show that the coverage probability of the meta-analysis confidence interval is quite close to the nominal confidence level. The random-effect meta-analysis model yields a better coverage probability and smaller MSE than the fixed?effect meta-analysis model. The meta-analysis method is then used to synthesize medians of patient delays in pulmonary tuberculosis diagnosis in China to provide an illustration of the proposed methodology. (manuscript: https://onlinelibrary.wiley.com/doi/full/10.1002/sim.8738)"""
"""2021-04-26"""	"""Dr. ShanShan Zhao"""	"""NIH/NIEHS"""	"""Assessing the Effects of Multiple Exposures Subject to Limit of Detection"""	"""Studies on the health effects of environmental mixtures face the challenge of limit of detection (LOD) in multiple correlated exposure measurements. Conventional approaches to deal with covariates subject to LOD, including complete-case analysis, substitution methods and parametric modeling of covariate distribution, are feasible but may result in efficiency loss or bias. With a single covariate subject to LOD, a flexible semiparametric accelerated failure time (AFT) model to accommodate censored measurements has been proposed. We generalize this approach by considering a multivariate AFT model for the multiple correlated covariates subject to LOD and a generalized linear model for the outcome. A two-stage procedure based on semiparametric pseudo-likelihood is proposed for estimating the effects of these covariates on health outcome. Consistency and asymptotic normality of the estimators are derived for an arbitrary fixed dimension of covariates. Simulations studies demonstrate good large sample performance of the proposed methods versus conventional methods in realistic scenarios. We illustrate the practical utility of the proposed method with the LIFECODES birth cohort data, where we compare our approach to existing approaches in an analysis of multiple urinary trace metals in association with oxidative stress in pregnant women."""
"""2021-05-10"""	"""Dr. Jay Greene"""	"""GlaxoSmithKline"""	"""A Machine Learning Compatible Method for Ordinal Propensity Score Stratification and Matching?"""	"""Abstract: Although machine learning techniques that estimate propensity scores for observational studies with multi-valued treatments have advanced rapidly in recent years, the development of propensity score adjustment techniques has not kept pace. While machine learning propensity models provide numerous benefits, they do not produce a single variable balancing score that can be used for propensity score stratification and matching. This issue motivates the development of a flexible ordinal propensity scoring methodology that does not require parametric assumptions for the propensity model. The proposed method fits a one-parameter power function to the cumulative distribution function (CDF) of the generalized propensity score (GPS) vector resulting from any machine learning propensity model, and is called the GPS-CDF method. The estimated parameter from the GPS-CDF method, ?, is a scalar balancing score that can be used to group similar subjects in outcome analyses. Specifically, subjects who received different levels of the treatment are stratified or matched based on their ? value to produce unbiased estimates of the average treatment effect (ATE). Simulation studies presented show remediation of covariate balance, minimal bias in ATEs, and maintain coverage probability. The proposed method is applied to the Mexican-American Tobacco use in Children (MATCh) study to determine whether ordinal exposure to smoking imagery in movies is causally associated with cigarette experimentation in Mexican-American adolescents (manuscript: https://onlinelibrary.wiley.com/doi/full/10.1002/sim.8846)"""
"""2021-05-29"""	"""Dr. Andrew Lawson"""	"""Medical University of South Carolina"""	"""Bayesian Spatio-Temporal SIR Modeling of Covid-19 in SC, USA"""	"""The Covid-19 pandemic has focused awareness on the need for good modeling of infectious disease spread and the need for surveillance which can alert public health officials to developing adverse events such as clusters of unusual risk (hot spots). Bayesian models can provide a dynamically flexible framework for such modeling via recursive Bayesian learning. The use of susceptible-Infected removed compartment models is exemplified In addition, monitoring of events can be facilitated by using posterior functionals of risk. This talk will address some infectious disease modeling basics and demonstrate the need for flexible models that can address transmission, both symptomatic and asymptomatic, and be allowed to address the spatial structure of the pandemic via neighborhood effects and correlated random effects. The addition of predictors is considered and it has been found that % below poverty line at the county level makes a significant contribution to the transmission variation. Prediction form both daily count data and smoothed data is also explored"""
"""2021-06-21"""	"""Dr. Tianxiao Huan"""	"""UMASS"""	"""Genome-Wide Identification of DNA Methylation QTLs in Whole Blood Highlights Pathways for Cardiovascular Disease"""	"""Abstract: Identifying methylation quantitative trait loci (meQTLs) and integrating them with disease-associated variants from genome-wide association studies (GWAS) may illuminate functional mechanisms underlying genetic variant-disease associations. Here, we perform GWAS of >415 thousand CpG methylation sites in whole blood from 4170 individuals and map 4.7 million cis- and 630 thousand trans-meQTL variants targeting >120 thousand CpGs. Independent replication is performed in 1347 participants from two studies. By linking cis-meQTL variants with GWAS results for cardiovascular disease (CVD) traits, we identify 92 putatively causal CpGs for CVD traits by Mendelian randomization analysis. Further integrating gene expression data reveals evidence of cis CpG-transcript pairs causally linked to CVD. In addition, we identify 22 trans-meQTL hotspots each targeting more than 30 CpGs and find that trans-meQTL hotspots appear to act in cis on expression of nearby transcriptional regulatory genes. Our findings provide a powerful meQTL resource and shed light on DNA methylation involvement in human diseases."""
"""2021-08-23"""	"""Dr. Nadeesha Thewarapperuma"""	"""University of Kansas Medical Center"""	"""Analysis of DNA methylation data using a functional data approach"""	"""We will use a data series that examines oral and pharyngeal carcinoma, and which includes 154 cases and 72 controls. A functional data approach will be used to analyze CpG island data for each gene to determine if there is a difference between case and control groups. The package fdANOVA will be used for the hypothesis tests. The null hypothesis is that the case and control groups have the same mean function, and the alternative is that that the mean functions differ."""
"""2021-08-24"""	"""Dr. Ye Eun Bae"""	"""Florida State University"""	"""Building tools for understanding the genetic architecture of allopolyploidy"""	"""Analysis of quantitative trait loci (QTL) is a useful approach to identify putatively causal genetic factors underlying quantitative trait variation in species. While many QTL analysis tools and methods have been proposed, it is challenging to extend them to allopolyploid species which require polyploidy-aware genetic mapping by using the fact that there is preferential paring between pairs of homologous chromosomes. In this project, we developed a QTL analysis tool for allopolyploids to provide insights into their genetic architecture and genotype-phenotype associations. As a starting point, we applied our tool to switchgrass (Panicum virgatum) datasets and visualized the application results to help understanding the allopolyploid nature of switchgrass."""
"""2021-09-13"""	"""Dr. Phillip Hunter Allman"""	"""University of Alabama at Birmingham School of Public Health"""	"""Mendelian Randomization Analyses in a Multivariate Framework"""	"""Mendelian randomization (MR) is an application of instrumental variable (IV) methods to observational data in which the IV is a genetic variant. An IV is a variable which functions similarly to the random treatment group assignment seen in clinical trials. Numerous statistical methods exist for subject-level MR or IV analysis; such as two-stage predictor substitution (2SPS) or the correlated errors model (CEM). These methods have some limitations depending on the distributions involved and the number of IVs; particularly when it comes to asymptotic variance estimation and hypothesis testing. Our research explores extensions of the CEM to scenarios with non-normal variates. This talk will provide a brief introduction to MR; describe the popular statistical methods for such analyses; describe our extensions to the correlated errors model; and compare these methods with simulations and real data analysis."""
"""2021-09-24"""	"""Dr. Karl Broman"""	"""University of Wisconsin-Madison"""	"""OSGA Webinar - Organizing Data in Spreadsheets"""	"""Spreadsheets are widely used software tools for data entry, storage, analysis, and visualization. Focusing on the data entry and storage aspects, this presentation will offer practical recommendations for organizing spreadsheet data to reduce errors and ease later analyses. The basic principles are: be consistent, write dates like YYYY-MM-DD, do not leave any cells empty, put just one thing in a cell, organize the data as a single rectangle (with subjects as rows and variables as columns, and with a single header row), create a data dictionary, do not include calculations in the raw data files, do not use font color or highlighting as data, choose good names for things, make backups, use data validation to avoid data entry errors, and save the data in plaintext files."""
"""2021-09-27"""	"""Dr. Duyeol Lee"""	"""Quantitative Analytics Specialist, Model Innovations Team, Wells Fargo Bank"""	"""Generalized V-Learning Framework for Estimating Dynamic Treatment Regimes"""	"""Precision medicine is an approach that incorporates personalized information to efficiently determine which treatments are best for which types of patients. A key component of precision medicine is creating mathematical estimators for clinical decision-making. Dynamic treatment regimes formalize tailored treatment plans as sequences of decision rules. Recently, the V-learning method was introduced to estimate optimal dynamic treatment regimes. This method showed good performance compared to the existing reinforcement learning methods such as greedy gradient Q-learning. However, the complicated functional form of its loss function makes it difficult to apply modern machine learning methods for the estimation of value functions of treatment policies. We propose a generalized V-learning framework for estimating optimal treatment regimes. The proposed method adopts widely used loss functions and an iterative method to estimate value functions. Simulation studies show that the proposed method provides better performance compared with the original V-learning method."""
"""2021-10-04"""	"""Dr. Rebecca Hubbard"""	"""University of Pennsylvania"""	"""Principled Approaches to the Practical Challenges of Real-World Data"""	"""Interest in conducting research using real-world data, data generated as a by-product of digital transactions, has exploded over the past decade and has been further spurred by the 21st Century Cures Act. Real-world data facilitate understanding of treatment utilization and outcomes as they occur in routine practice, and studies using these data sources can potentially proceed rapidly compared to trials and observational studies that rely on primary data collection. However, using data sources that were not collected for research purposes comes at a cost, and naïve use of such data without considering their complexity and imperfect quality can lead to bias and inferential error. Real-world data frequently violate the assumptions of standard statistical methods, but it is not practicable to develop new methods to address every possible complication arising in their analysis. The statistician is faced with a quandary: how to effectively utilize real-world data to advance research without compromising best practices for principled data analysis. In this talk I will use examples from my research on methods for the analysis of electronic health records (EHR) derived-data to illustrate approaches to understanding the data generating mechanism for real-world data. Drawing on this understanding, I will then discuss approaches to identify, use, and develop principled methods for incorporating EHR into research. The overarching goal of this presentation is to raise awareness of challenges associated with the analysis of real-world data and demonstrate how a principled approach can be grounded in an understanding of the scientific context and data generating process."""
"""2021-10-18"""	"""Jane Liang"""	"""Harvard University"""	"""PanelPRO: A General Framework for Multi-Gene, Multi-Cancer Mendelian Risk Prediction Models"""	"""Risk evaluation to identify individuals who are at greater risk of cancer as a result of heritable pathogenic variants is a valuable component of individualized clinical management. Using principles of Mendelian genetics, Bayesian probability theory, and variant-specific knowledge, Mendelian models derive the probability of carrying a pathogenic variant and developing cancer in the future, based on family history. Existing Mendelian models are widely employed, but are generally limited to specific genes and syndromes. However, the upsurge of multi-gene panel germline testing has spurred the discovery of many new gene-cancer associations that are not presently accounted for in these models. We have developed PanelPRO, a flexible, efficient Mendelian risk prediction framework that can incorporate an arbitrary number of genes and cancers, overcoming the computational challenges that arise because of the increased model complexity. Using simulations and a clinical cohort with germline panel testing data, we evaluate model performance, validate the reverse-compatibility of our approach with existing Mendelian models, and illustrate its usage."""
"""2021-11-01"""	"""Anna Reisetter"""	"""University of Iowa"""	"""Standardization and Penalty Parameter Selection in Penalized Linear Mixed Models"""	"""Penalized linear mixed models (LMMs) have been developed to accurately identify genotype-phenotype associations in the presence of dependent samples. In spite of this, the statistical properties of these models are not well understood. In addition, there is a lack of available software for their implementation. In this talk, we provide an overview of penalized LMMs for the analysis of structured genetic data, while examining their statistical properties in the genetic association setting. We then focus on the statistical properties of penalized LMMs in a general setting, and provide recommendations for key components of their implementation, including appropriate standardization and penalty parameter selection. We demonstrate the benefits of our recommendations using both a general setting, and one specific to genetic data. We conclude with a detailed analysis of a large, empirical GWAS data set which contains complex correlation among samples. We use this analysis to illustrate the benefits of penalized LMMs compared to traditional genome-wide association methods, and to demonstrate the utility of penalizedLMM, an R package we have developed for the flexible, and user-friendly implementation of penalized LMMs."""
"""2021-11-22"""	"""Dr. Zoltán Kutalik"""	"""University of Lausanne"""	"""Advances in Mendelian Randomization"""	"""First, I will motivate the need for causal inference in contrast to observational correlations. In particular, IÕll describe the principle of an instrumental variable approach heavily applied in genetic research, termed Mendelian Randomization (MR). Next, I will show four extensions of this method to different settings/assumptions: (i) In-depth quantification and correction of the bias of the most popular MR method (IVW); (ii) Modelling genetic architecture simultaneously with bidirectional causal effects in the presence of a heritable confounder; (iii) Causal inference for composite trait type exposures; (iv) estimation of non-linear causal effects. IÕll finish with two applications to omics data: first, we link differential gene expression analyses with bi-directional causal effects and finally, IÕll touch on how causal effects of different omics layers are mediated."""
"""2022-01-24"""	"""Dr. Xuexia Wang"""	"""University of North Texas"""	"""Novel Genetic Association Test and Cardiomyopathy Risk Prediction in Cancer Survivors"""	"""This talk includes two projects. Project 1: Gene-based association tests are widely used in GWAS. The power of a test is often limited by the sample size, the effect size, and the number of causal variants or their directions in a gene. In addition, access to individual-level data is often limited. To resolve the existing limitations, we proposed an optimally weighted combination (OWC) test based on summary statistics from GWAS. We analytically proved that aggregating the variants in one gene is the same as using the weighted combination of Z-scores for each variant based on the proposed score test. Several existing methods are special cases. We also numerically illustrated that our proposed test outperforms several existing methods via simulation studies. Furthermore, we utilized schizophrenia GWAS data and fasting glucose GWAS meta-analysis data to demonstrate that our method outperforms the existing methods in real data analyses. Project 2: We used a carefully curated list of 87 previously published genetic variants to determine whether the incorporation of genetic variants with non-genetic variables could improve the identification of cancer survivors at risk for anthracycline-related cardiomyopathy. We used anthracycline-exposed childhood cancer survivors from a ChildrenÕs Oncology Group study (COG-ALTE03N1: 146 cases; 195 matched controls) as the discovery set. Replication was performed in two anthracycline-exposed survivor populations: i) childhood cancer survivors from the Childhood Cancer Survivor Study (CCSS: 126 cases; 250 controls); ii) autologous blood or marrow transplantation (BMT) survivors from the BMT Survivor Study (BMTSS: 80 cases; 78 controls). The Clinical+Genetic model performed better than the Clinical Model in COG-ALTE03N1 (AUC of Clinical+Genetic Model = 0.88 vs. AUC of Clinical Model = 0.81) and BMTSS (AUC of Clinical+Genetic Model = 0.72 vs. AUC of Clinical Model = 0.64), but not in CCSS (AUC of Clinical+Genetic Model = 0.88 vs. AUC of Clinical Model = 0.89). However, the Clinical+Genetic model performed marginally better in CCSS patients without CVRFs where cardiomyopathy developed within 30 years of anthracycline exposure (AUC of Clinical+Genetic Model = 0.90 vs. AUC of Clinical Model = 0.85). Conclusions: Adding a comprehensively assembled genetic profile to clinical characteristics improves the identification of cancer survivors at risk for anthracycline-related cardiomyopathy."""
